long1,lat,id1,statename,pcname,m_electors,f_electors,t_electors,m_voters,f_voters,t_voters,party1,sex_ratio_e,f_vote_turnout,m_vote_turnout,color,l_t,l_t1
76.489487,24.677259,361,Rajasthan,JHALAWAR-BARAN,868979,800865,1669844,635617,510625,1146242,BJP,922,63.799999,73.099998,#E69F19,7.5,7.0661025
81.633698,26.277506,461,Uttar Pradesh,Amethi,890648,779148,1669843,461524,413341,874865,INC,875,53.099998,51.799999,#04C4FC,7.5,7.0660987
76.74501,12.60028,200,Karnataka,Mandya,839052,830121,1669262,604491,587306,1191805,JD(S),989,70.699997,72,red,7.5,7.0636401
75.18483,22.496044,236,Madhya Pradesh,DHAR,858093,810302,1668441,586698,489232,1075930,BJP,944,60.400002,68.400002,#E69F19,7.5,7.0601659
86.338081,26.401941,66,Bihar,Jhanjharpur,895570,772835,1668405,450499,490640,941139,BJP,863,63.5,50.299999,#E69F19,7.5,7.0600133
72.921539,19.144129,303,Maharashtra,Mumbai North East,923016,745254,1668357,485677,375903,861638,BJP,807,50.400002,52.599998,#E69F19,7.5,7.0598102
81.945656,25.137699,473,Uttar Pradesh,Allahabad,917403,749001,1666569,506755,384075,890833,BJP,816,51.299999,55.200001,#E69F19,7.5,7.0522442
79.447487,28.522087,436,Uttar Pradesh,Bareilly,911264,752773,1664081,574826,441899,1016728,BJP,826,58.700001,63.099998,#E69F19,7.5,7.0417161
84.027626,26.09012,470,Uttar Pradesh,Salempur,904632,756980,1661737,450187,404269,854457,BJP,837,53.400002,49.799999,#E69F19,7.5,7.0317974
76.894463,16.339323,186,Karnataka,Raichur,835969,825327,1661606,501122,467391,968513,INC,987,56.599998,59.900002,#04C4FC,7.5,7.0312428
82.92469,26.033089,429,Uttar Pradesh,Lalganj,906738,754613,1661470,456872,441988,898860,BJP,832,58.599998,50.400002,#E69F19,7.5,7.0306673
76.649742,14.127404,202,Karnataka,Chitradurga,844869,816317,1661277,572567,524303,1096871,INC,966,64.199997,67.800003,#04C4FC,7.5,7.0298505
75.215034,29.606947,154,Haryana,Sirsa,886303,774254,1660557,692765,586098,1278863,INLD,874,75.699997,78.199997,red,7.5,7.026804
77.643356,13.416919,190,Karnataka,Chikkballapur,843790,814500,1658410,652727,608718,1261451,INC,965,74.699997,77.400002,#04C4FC,7.5,7.0177188
71.693916,22.744522,139,Gujarat,Surendranagar,877745,778910,1656657,539246,399328,938575,BJP,887,51.299999,61.400002,#E69F19,7.5,7.0103006
79.927292,21.145067,274,Maharashtra,Bhandara - gondiya,841257,814592,1655852,615597,580693,1196291,BJP,968,71.300003,73.199997,#E69F19,7.5,7.0068941
70.911438,22.368584,138,Gujarat,Rajkot,864760,790949,1655717,590854,461740,1052595,BJP,915,58.400002,68.300003,#E69F19,7.5,7.0063229
84.377312,26.442745,63,Bihar,Gopalganj (SC),871590,783212,1654838,444922,458639,903561,BJP,899,58.599998,51,#E69F19,7.5,7.0026035
79.325333,28.107628,437,Uttar Pradesh,Aonla,917053,736487,1653577,572213,422483,994700,BJP,803,57.400002,62.400002,#E69F19,7.5,6.9972672
79.057884,27.122322,452,Uttar Pradesh,Mainpuri,900568,752461,1653058,579581,418952,998538,SP,836,55.700001,64.400002,green,7.5,6.9950709
79.297638,23.865664,242,Madhya Pradesh,DAMOH,882818,768760,1651614,558821,354514,913336,BJP,871,46.099998,63.299999,#E69F19,7.5,6.9889607
85.361748,25.718819,93,Bihar,Hajipur (SC),895047,754452,1649547,478157,425876,904033,LJP,843,56.400002,53.400002,red,7.5,6.9802141
74.897446,17.129776,269,Maharashtra,Sangli,861582,787493,1649107,556695,486169,1042869,BJP,914,61.700001,64.599998,#E69F19,7.5,6.9783521
85.589569,23.293884,174,Jharkhand,Ranchi,868528,779930,1648459,562384,487221,1049605,BJP,898,62.5,64.800003,#E69F19,7.5,6.9756103
